num_reads	tax_id	scientific_name	sample	workflow
3179	48027	Anthriscus sylvestris	GB6	holi
3112	58023	Tracheophyta	GB6	holi
2885	147389	Triticeae	GB6	holi
2510	48032	Carum carvi	GB6	holi
2264	165317	Veronica longifolia	GB6	holi
2086	91835	fabids	GB6	holi
1876	13749	Vaccinium	GB6	holi
1726	721813	Maleae	GB6	holi
1685	15303	Alopecurus	GB6	holi
1652	147368	Pooideae	GB6	holi
1571	1435599	Urtica dioica subsp. dioica	GB6	holi
1502	199171	Empetrum nigrum subsp. hermaphroditum	GB6	holi
77905	1648017	Hordeinae	GB5	holi
49937	3504	Betula	GB5	holi
49135	669861	Valeriana excelsa subsp. sambucifolia	GB5	holi
23617	241778	Apioideae	GB5	holi
22795	15492	Elymus	GB5	holi
17533	1437183	Mesangiospermae	GB5	holi
17370	216990	Betula nana	GB5	holi
12960	19952	Valeriana	GB5	holi
12618	147368	Pooideae	GB5	holi
12380	717482	Betula nana subsp. exilis	GB5	holi
11684	38787	Betula pubescens	GB5	holi
8388	147389	Triticeae	GB5	holi
8185	220462	Leymus arenarius	GB5	holi
7910	15303	Alopecurus	GB5	holi
7779	52713	Leymus	GB5	holi
7208	38820	Poales	GB5	holi
7051	3514	Betulaceae	GB5	holi
6200	1437201	Pentapetalae	GB5	holi
5814	3501	Urtica dioica	GB5	holi
5504	4544	Poa	GB5	holi
5220	216991	Betula humilis	GB5	holi
4693	435792	Leymus innovatus	GB5	holi
4330	78536	Euphyllophyta	GB5	holi
3998	52159	Poa pratensis subsp. angustifolia	GB5	holi
3876	1648038	Triticodae	GB5	holi
3686	52709	Elymus trachycaulus	GB5	holi
3013	48027	Anthriscus sylvestris	GB5	holi
2915	13055	Chamaenerion angustifolium	GB5	holi
2838	1652081	Poeae Chloroplast Group 2 (Poeae type)	GB5	holi
2827	58023	Tracheophyta	GB5	holi
2647	129741	Elymus caninus	GB5	holi
2588	183794	Leymus mollis	GB5	holi
2371	48032	Carum carvi	GB5	holi
2194	23216	Rubus	GB5	holi
2136	376113	Hordelymus europaeus	GB5	holi
2042	379956	Geranium sylvaticum	GB5	holi
1886	4545	Poa pratensis	GB5	holi
1881	75091	Rubus saxatilis	GB5	holi
1808	238243	Chamaenerion	GB5	holi
1761	147387	Poeae	GB5	holi
